Web Search interest: inflation
Ireland; 2004 - present

Interest over time
Month,inflation
2004-01,0
2004-02,0
2004-03,0
2004-04,100
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,80
2004-12,80
2005-01,80
2005-02,80
2005-03,51
2005-04,42
2005-05,42
2005-06,37
2005-07,37
2005-08,37
2005-09,37
2005-10,37
2005-11,65
2005-12,35
2006-01,35
2006-02,38
2006-03,46
2006-04,52
2006-05,45
2006-06,28
2006-07,28
2006-08,28
2006-09,28
2006-10,26
2006-11,34
2006-12,31
2007-01,36
2007-02,28
2007-03,31
2007-04,27
2007-05,20
2007-06,20
2007-07,15
2007-08,18
2007-09,23
2007-10,30
2007-11,25
2007-12,20
2008-01,27
2008-02,17
2008-03,26
2008-04,29
2008-05,24
2008-06,25
2008-07,28
2008-08,19
2008-09,18
2008-10,20
2008-11,21
2008-12,21
2009-01,20
2009-02,21
2009-03,26
2009-04,22
2009-05,15
2009-06,9
2009-07,8
2009-08,8
2009-09,7
2009-10,17
2009-11,28
2009-12,15
2010-01,17
2010-02,11
2010-03,24
2010-04,16
2010-05,20
2010-06,11
2010-07,9
2010-08,8
2010-09,7
2010-10,14
2010-11,16
2010-12,12
2011-01,15
2011-02,11
2011-03,21
2011-04,15
2011-05,15
2011-06,9
2011-07,16
2011-08,10
2011-09,14
2011-10,14
2011-11,18
2011-12,12
2012-01,11
2012-02,14
2012-03,18
2012-04,12
2012-05,17
2012-06,9
2012-07,7
2012-08,7
2012-09,11
2012-10,12
2012-11,14
2012-12,10
2013-01,11
2013-02,13
2013-03,14
2013-04,12
2013-05,15
2013-06,8
2013-07,5
2013-08,8
2013-09,8
2013-10,12
2013-11,13
2013-12,10
2014-01,13
2014-02,13
2014-03,15
2014-04,15
2014-05,14
2014-06,9
2014-07,6
2014-08,8
2014-09,11
2014-10,10
2014-11,15
2014-12,13
2015-01,13
2015-02,14
2015-03,18
2015-04,12
2015-05,17
2015-06,10
2015-07,11
2015-08,10
2015-09,12
2015-10,15
2015-11,17


Top cities for inflation
City,inflation
Galway,100
Limerick,78
Cork,63
Dublin,57



Top searches for inflation
inflation ireland,100
inflation rate,95
inflation in ireland,45
ireland inflation rate,45
rate of inflation,40
inflation rates,30
irish inflation,30
what is inflation,25
inflation calculator,20
uk inflation,15
irish inflation rate,15
inflation definition,15
cpi inflation,15
inflation rates ireland,10
cpi,10
ecb inflation,10
ecb,5



Rising searches for inflation
cpi,Breakout
cpi inflation,Breakout
inflation calculator,Breakout
inflation definition,Breakout
inflation in ireland,Breakout
inflation rates,Breakout
inflation rates ireland,Breakout
ireland inflation rate,Breakout
irish inflation,Breakout
irish inflation rate,Breakout



